playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter
24577,Eric Goins,K,0,0,,2025,258,74.9,60,68.9,S90,0,0,1,0,0,6,0,0,0,0,NOTRE DAME,NOTRE DAME,6,,,,,,,
41982,Cam McCormick,TE,0,0,,2025,220,,61.3,64.9,84,0,0,1,8,0,0,7,2,0,0,MIAMI FL,MIAMI FL,17,60.6,,,,,,
43872,Mason White,CB,0,0,,2026,265,,54.7,69.9,D01,1,0,1,0,1,5,0,4,3,1,OREGON ST,OREGON ST,13,,59.9,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,59.7,67.2,D38,0,0,1,0,1,3,4,0,3,0,NWESTERN,NWESTERN,11,,60,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,,60.4,60.9,88,0,0,1,3,0,0,0,0,0,0,NWESTERN,NWESTERN,3,60,,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,,61.1,61.2,11,0,0,1,5,0,0,0,0,0,0,CINCINNATI,CINCINNATI,5,60,,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,59.8,65,D57,0,0,1,0,4,0,0,5,1,0,KENT STATE,KENT STATE,10,,58.9,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,,61.1,65.6,82,0,0,1,5,0,0,3,0,0,0,CINCINNATI,CINCINNATI,8,60,,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,85.1,65.8,19,0,0,1,0,0,0,0,6,0,1,BALL ST,BALL ST,6,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,54.5,65.6,57,0,0,1,0,0,0,6,3,0,0,MARSHALL,MARSHALL,9,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,59.4,67.1,D03,0,0,1,0,5,2,0,9,0,0,UCF,UCF,16,,60,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,59.7,63,D97,0,0,1,0,2,0,0,0,0,0,CINCINNATI,CINCINNATI,2,,59.5,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,61,63.8,D07,0,0,1,0,3,0,0,0,2,0,WISCONSIN,WISCONSIN,5,,59.9,,,,,
62277,Jaiden Cameron,ED,0,0,,2025,256,,87.9,62.4,D53,0,0,1,0,1,0,0,0,0,0,NWESTERN,NWESTERN,1,,90.9,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60,62.5,D03,0,0,1,0,3,0,0,0,0,0,DUKE,DUKE,3,,59.9,,,,,
