playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesKickoffKicker,gradesPunter
41982,Cam McCormick,TE,0,0,,2025,220,60.6,61.5,64.6,84,0,0,1,8,0,0,3,0,0,0,MIAMI FL,MIAMI FL,11,,,,,,,
43872,Mason White,CB,0,0,,2026,265,,62.8,67.4,D01,0,0,1,0,0,4,0,0,6,0,OREGON ST,OREGON ST,10,,,,,,,
51815,Skip Velotta,S,0,0,,2025,211,,61.1,65.6,D34,0,0,1,0,0,3,0,0,0,0,LSU,LSU,3,,,,,,,
51984,Bentley Hanshaw,TE,0,0,,2025,206,60,61.2,63.2,15,0,0,1,5,0,0,0,5,0,0,LIBERTY,LIBERTY,10,,,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,90,69,D38,0,0,1,0,0,0,0,0,4,0,NWESTERN,NWESTERN,4,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,60,61.4,67.7,88,0,0,1,5,0,0,4,0,0,0,NWESTERN,NWESTERN,9,,,,,,,
52540,Jakob James,C,0,0,,2025,316,62,61.9,62.2,78,0,0,1,6,0,0,0,0,0,0,TOLEDO,TOLEDO,6,,,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,60,60.6,65.4,11,0,0,1,6,0,0,0,4,0,0,CINCINNATI,CINCINNATI,10,,,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,60,60.8,69.1,D57,0,0,1,4,1,0,0,7,7,0,KENT STATE,KENT STATE,19,59.6,,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,60,60.9,63.7,82,0,0,1,6,0,0,6,0,0,0,CINCINNATI,CINCINNATI,12,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,60,65.3,57,0,0,1,0,0,0,6,8,0,0,MARSHALL,MARSHALL,14,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,60,62.9,D03,0,0,1,0,1,0,0,0,0,0,UCF,UCF,1,60,,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,59.3,63.6,D97,0,0,1,0,3,0,0,0,0,0,CINCINNATI,CINCINNATI,3,59.1,,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,60.5,66.5,D12,0,0,1,0,0,0,0,0,2,0,AKRON,AKRON,2,,,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,60,67.5,D07,0,0,1,0,3,0,0,4,4,0,WISCONSIN,WISCONSIN,11,60.1,,,,,,
