playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesKickReturn,gradesLongSnap,gradesPuntReturn,gradesPunter,gradesKickoffKicker,gradesFgepKicker
43872,Mason White,S,0,0,,2026,265,50.1,69.7,D01,1,0,1,0,0,3,2,10,6,0,OREGON ST,OREGON ST,21,,,,,,,,
53418,James Camden,LB,0,0,,2026,347,60,66.4,D09,0,0,1,0,2,0,0,4,1,0,W MICHIGAN,W MICHIGAN,7,60.1,,,,,,,
54221,Sterling Berkhalter,WR,0,0,,2027,339,60,62.2,04,0,0,1,0,0,0,1,0,0,0,WAKE,WAKE,1,,,,,,,,
62235,Shaun Myers,LB,0,0,,2027,143,60.5,65.4,D40,0,0,1,0,9,0,0,1,1,0,COLORADO,COLORADO,11,59.9,,,,,,,
70521,Mister Williams,LB,0,0,,2026,284,57.5,62.9,D41,0,0,1,0,0,0,2,0,0,0,S DIEGO ST,S DIEGO ST,2,,,,,,,,
70644,Ben Florentine,DI,0,0,,2026,351,59.8,66.1,D94,0,0,1,0,5,0,0,0,3,0,WYOMING,WYOMING,8,58.7,,,,,,,
70877,Calvin Pitcher,LB,1,0,,2026,321,62.4,66.3,D06,0,0,1,0,1,4,0,2,0,0,UAB,UAB,7,60,,,,,,,
71325,Boden Groen,TE,0,0,,2026,198,60.3,62.7,88,0,0,1,2,0,0,1,0,0,0,KANSAS,KANSAS,3,,60,,,,,,
71443,Mavin Anderson,WR,0,0,,2026,314,59.8,65.1,03,0,0,1,0,0,0,9,0,0,0,TEXAS ST,TEXAS ST,9,,,61.8,,,,,
71596,Aaron Smith,CB,0,0,,2026,241,65.1,67.8,D29,0,0,1,0,0,7,5,5,1,1,NEW MEXICO,NEW MEXICO,18,,,,,,,,
71698,Jayden Dixon-Veal,WR,0,0,,2026,130,56.7,65.3,10,0,0,1,0,0,0,6,0,0,0,CAL,CAL,6,,,,,,,,
72318,Solomone Langi,DI,0,0,,2028,285,62.1,62.3,D51,0,0,1,7,0,0,0,0,0,0,S JOSE ST,S JOSE ST,7,,63.1,,,,,,
72376,Cam Davis,HB,0,0,,2026,225,74.7,65.3,23,0,0,1,0,0,0,4,0,0,0,MINNESOTA,MINNESOTA,4,,,,,,,,
72388,Justin Flowe,LB,0,0,,2027,325,64.9,64.5,D36,0,0,1,0,0,6,0,0,0,0,UNLV,UNLV,6,,,,,,,,
72474,Ian Shewell,DI,0,0,,2027,110,62.3,71.4,D52,0,0,1,0,0,0,0,0,4,0,ARIZONA ST,ARIZONA ST,4,,,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,169,60.1,63,D39,0,0,1,0,2,0,0,0,0,0,FRESNO ST,FRESNO ST,2,60,,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,61.3,61.4,53,0,0,1,6,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,6,,60,,,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,60.3,70.4,D53,0,0,1,0,6,2,0,7,0,0,BOISE ST,BOISE ST,15,59.9,,,,,,,
73609,Trent Whalen,LB,0,0,,2026,111,60.9,69.1,D26,0,0,1,0,0,0,7,0,0,0,ARKANSAS,ARKANSAS,7,,,,,,,,
73658,Gio De Leon,LB,0,0,,2026,126,61.9,68.6,D45,0,0,1,0,0,5,2,7,7,0,BUFFALO,BUFFALO,21,,,,,,,,
73697,Sioeli Helu,C,0,0,,2027,242,61.4,63.1,58,0,0,1,4,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,4,,60,,,,,,
73699,Cory Hall,DI,0,0,,2026,325,61.5,68.4,D97,0,0,1,5,0,0,0,0,0,0,UNLV,UNLV,5,,60,,,,,,
73741,Aluma Nkele,T,0,0,,2026,225,60.7,62.5,70,0,0,1,4,0,0,0,0,0,0,MINNESOTA,MINNESOTA,4,,60,,,,,,
73935,Cade McConnell,QB,0,0,,2026,330,60,60.3,11,0,0,1,2,0,0,0,0,0,0,UTEP,UTEP,2,,60,,,,,,
74152,Ryan Quintanar,LB,0,0,,2026,326,59.5,66,D51,0,0,1,0,0,0,4,4,0,0,USC,USC,8,,,,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,67.8,70,D21,0,0,1,0,0,7,8,4,0,0,HAWAII,HAWAII,19,,,,,,,,
74395,Zion Branch,S,0,0,,2027,173,62.3,66.1,D02,0,0,1,0,2,1,0,0,4,0,GEORGIA,GEORGIA,7,60,,,,,,,
75288,Tegra Tshabola,G,0,0,,2028,260,62,67.2,77,0,0,1,6,0,0,0,0,0,0,OHIO STATE,OHIO STATE,6,,61.5,,,,,,
76122,Bam Booker,ED,0,0,,2027,122,56,66.8,D45,0,0,1,1,3,0,0,7,2,0,BOWL GREEN,BOWL GREEN,13,59.5,60,,,,,,
78573,Solomon Vanhorse,HB,0,0,,2026,190,60,66.2,18,0,0,1,0,0,0,3,1,2,0,INDIANA,INDIANA,6,,,,,,,,
83446,Brendon Harris,S,0,0,,2026,224,60.1,66.3,D07,0,0,1,0,4,2,0,6,1,0,MIDDLE TN,MIDDLE TN,13,59.9,,,,,,,
85774,Gracen Halton,DI,0,0,2026,2026,261,59.5,62.9,D56,0,0,1,0,2,0,0,0,0,0,OKLAHOMA,OKLAHOMA,2,59.3,,,,,,,
86142,Carson Lee,C,0,0,,2026,343,61.9,68.7,55,0,0,1,7,0,0,0,0,0,0,W VIRGINIA,W VIRGINIA,7,,61.2,,,,,,
86267,Kalib Perry,LB,0,0,,2027,210,67.7,70.3,D12,0,0,1,0,2,6,0,5,6,0,LOUISVILLE,LOUISVILLE,19,60,,,,,,,
86298,Blake Ruffin,S,0,0,,2027,210,58.3,70.8,D29,1,0,1,0,0,6,0,5,6,0,LOUISVILLE,LOUISVILLE,17,,,,,,,,
86353,Byron Cardwell Jr.,HB,0,0,,2027,284,59.9,62.9,21,0,0,1,0,0,0,2,0,0,0,S DIEGO ST,S DIEGO ST,2,,,,,,,,
86578,Jalil Tucker,CB,0,0,,2028,265,52.9,67.8,D22,0,0,1,0,2,0,0,0,3,0,OREGON ST,OREGON ST,5,59.8,,,,,,,
86773,Jackson Schulz,S,0,0,,2026,202,60.1,65.7,D29,0,0,1,0,0,0,2,0,0,0,KENTUCKY,KENTUCKY,2,,,,,,,,
