playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepKicker,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesLongSnap,gradesPunter,gradesKickReturn,gradesPuntReturn
24577,Eric Goins,K,0,0,,2025,258,60,67.8,60.2,69.8,S90,0,0,1,1,0,9,0,0,0,0,NOTRE DAME,NOTRE DAME,10,,,,,,
41982,Cam McCormick,TE,0,0,,2025,220,,,33.6,24.8,84,0,1,1,6,0,0,3,1,0,0,MIAMI FL,MIAMI FL,10,60,,,,,
43872,Mason White,CB,0,0,,2026,265,,,60.4,64.7,D01,0,0,1,0,2,2,0,0,0,0,OREGON ST,OREGON ST,4,,59.8,,,,
51984,Bentley Hanshaw,TE,0,0,,2025,206,,,61,62,15,0,0,1,4,0,0,0,2,0,0,LIBERTY,LIBERTY,6,60,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,,52.3,66.3,D38,0,0,1,0,1,4,0,0,4,0,NWESTERN,NWESTERN,9,,60,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,,,60.8,63,88,0,0,1,3,0,0,0,4,0,0,NWESTERN,NWESTERN,7,60,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,,,60,60.9,11,0,0,1,2,0,0,0,0,0,0,CINCINNATI,CINCINNATI,2,60,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,,59.8,65.3,D57,0,0,1,0,5,0,0,0,2,0,KENT STATE,KENT STATE,7,,58.9,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,,,60.7,67.3,82,0,0,1,3,0,0,7,0,0,0,CINCINNATI,CINCINNATI,10,60,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,,49.1,69.1,19,1,0,1,0,0,2,5,3,0,0,BALL ST,BALL ST,10,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,,60.3,68,D03,0,0,1,0,7,2,0,4,0,0,UCF,UCF,13,,59.9,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,,59.8,63.6,D97,0,0,1,0,2,0,0,0,1,0,CINCINNATI,CINCINNATI,3,,59.2,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,,61,68.5,D12,0,0,1,0,0,0,0,0,3,0,AKRON,AKRON,3,,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,,60.6,62.7,D07,0,0,1,0,4,0,0,0,1,0,WISCONSIN,WISCONSIN,5,,60,,,,
54240,Cheikhsaliou Fall,ED,0,0,,2025,130,,,61.5,67.5,D17,0,0,1,0,1,4,0,0,1,0,CAL,CAL,6,,59.8,,,,
55516,Malik Denkins,ED,0,0,,2027,134,,,60.1,63.8,D81,0,0,1,0,2,0,0,0,0,0,C MICHIGAN,C MICHIGAN,2,,60,,,,
