playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesKickReturn,gradesPuntReturn,gradesPunter,gradesLongSnap,gradesKickoffKicker,gradesFgepKicker
43872,Mason White,S,0,0,,2026,265,60,50.2,67.9,D01,1,0,1,0,1,0,0,8,2,0,OREGON ST,OREGON ST,11,,,,,,,
53418,James Camden,LB,0,0,,2026,347,60.1,47.7,67.7,D09,1,0,1,0,2,0,0,5,1,0,W MICHIGAN,W MICHIGAN,8,,,,,,,
55516,Malik Denkins,ED,0,0,,2027,134,59.8,64.6,72.4,D81,0,0,1,0,1,0,0,0,8,0,C MICHIGAN,C MICHIGAN,9,,,,,,,
62235,Shaun Myers,LB,0,0,,2027,143,60,60,61.7,D40,0,0,1,0,1,0,0,0,0,0,COLORADO,COLORADO,1,,,,,,,
70521,Mister Williams,LB,0,0,,2026,284,60,60,62.1,D41,0,0,1,0,1,0,1,0,0,0,S DIEGO ST,S DIEGO ST,2,,,,,,,
70644,Ben Florentine,DI,0,0,,2026,351,58.7,59.4,65.9,D94,0,0,1,0,6,0,0,0,2,0,WYOMING,WYOMING,8,,,,,,,
70877,Calvin Pitcher,LB,0,0,,2026,321,60,59.6,66.2,D06,0,0,1,0,5,0,0,6,0,0,UAB,UAB,11,,,,,,,
70946,Tate Romney,LB,0,0,,2027,110,60,63.9,67.5,D24,0,0,1,0,1,6,5,0,2,0,ARIZONA ST,ARIZONA ST,14,,,,,,,
71325,Boden Groen,TE,0,0,,2026,198,,60,63.9,88,0,0,1,0,0,1,0,0,0,0,KANSAS,KANSAS,1,,,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,128,59.3,59.7,65.7,D57,0,0,1,0,3,0,0,0,2,0,BYU,BYU,5,,,,,,,
72089,DJ Harvey,CB,0,0,,2026,326,59.9,60.2,65,D02,0,0,1,0,2,0,1,0,0,0,USC,USC,3,,,,,,,
72318,Solomone Langi,DI,0,0,,2028,285,59.6,59.8,62,D51,0,0,1,0,1,0,0,0,0,0,S JOSE ST,S JOSE ST,1,,,,,,,
72324,Sonny Makasini,G,0,0,,2027,128,,62,67.6,51,0,0,1,6,0,0,0,0,0,0,BYU,BYU,6,61.5,,,,,,
72336,Rowan Reay,WR,0,0,,2028,128,,88.6,64.7,29,0,0,1,0,0,2,4,0,0,0,BYU,BYU,6,,,,,,,
72338,Raider Damuni,S,0,0,,2028,128,60,57.5,63,D03,0,0,1,0,2,0,0,0,1,0,BYU,BYU,3,,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,169,60,60.2,64.3,D39,0,0,1,0,3,0,1,0,0,0,FRESNO ST,FRESNO ST,4,,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,,61.3,61.4,53,0,0,1,6,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,6,60,,,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,59.9,60.8,65.2,D53,0,0,1,0,5,0,1,2,1,0,BOISE ST,BOISE ST,9,,,,,,,
73609,Trent Whalen,LB,0,0,,2026,111,,60,63.9,D26,0,0,1,0,0,0,0,1,0,0,ARKANSAS,ARKANSAS,1,,,,,,,
73621,Elijah Gilliam,HB,0,0,,2026,169,,60.4,65,33,0,0,1,0,0,1,1,0,0,0,FRESNO ST,FRESNO ST,2,,,,,,,
73658,Gio De Leon,LB,0,0,,2026,126,,69.3,67.7,D45,0,0,1,0,0,4,4,1,2,2,BUFFALO,BUFFALO,11,,,,,,,
